frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
96,broadcast,player_03,837,651,925,718,881.7445,685.4618,0.8844144940376282,player
99,broadcast,player_03,836,674,926,725,881.7843,699.8131,0.7994093298912048,player
102,broadcast,player_03,836,692,893,729,865.1704,710.67236,0.40871575474739075,player
105,broadcast,player_03,849,693,893,733,871.7294,713.54675,0.7727884650230408,player
105,broadcast,player_03,897,679,917,728,907.9391,703.98395,0.40228915214538574,player
108,broadcast,player_03,859,693,899,737,879.4744,715.3634,0.6453769207000732,player
111,broadcast,player_03,853,695,892,742,873.4365,718.9983,0.3293718099594116,player
6,broadcast,player_04,883,575,949,671,916.5163,623.07587,0.9196744561195374,player
9,broadcast,player_04,897,577,956,665,926.976,621.7096,0.8879576921463013,player
12,broadcast,player_04,937,571,981,671,959.9785,621.41345,0.8965275883674622,player
15,broadcast,player_04,956,565,998,660,977.49664,612.6717,0.8855134844779968,player
18,broadcast,player_04,975,559,1028,654,1002.05273,606.5562,0.89999920129776,player
21,broadcast,player_04,986,556,1038,650,1012.68665,603.9305,0.8862304091453552,player
24,broadcast,player_04,984,550,1063,642,1024.0183,596.5556,0.9149926900863647,player
27,broadcast,player_04,993,546,1057,639,1025.7517,592.8739,0.894847571849823,player
30,broadcast,player_04,999,538,1063,628,1031.3989,583.313,0.9093250036239624,player
33,broadcast,player_04,999,532,1057,633,1028.3589,582.6561,0.9070179462432861,player
36,broadcast,player_04,998,528,1064,619,1031.713,574.3602,0.9227036237716675,player
39,broadcast,player_04,957,544,1006,631,981.83276,588.2038,0.8919491767883301,player
42,broadcast,player_04,989,542,1030,631,1009.65283,586.83044,0.8904297947883606,player
45,broadcast,player_04,1018,539,1060,629,1039.8284,584.58563,0.8696374297142029,player
45,broadcast,player_04,1044,526,1088,593,1066.5559,559.5205,0.8289207220077515,player
48,broadcast,player_04,1042,540,1097,631,1070.0234,586.2967,0.8668719530105591,player
48,broadcast,player_04,1037,533,1090,620,1064.197,576.88196,0.7555748224258423,player
51,broadcast,player_04,1069,548,1125,635,1097.4968,591.88245,0.9098241925239563,player
51,broadcast,player_04,1053,541,1094,615,1074.0974,578.8743,0.8298020362854004,player
51,broadcast,player_04,1056,543,1113,628,1085.1237,585.96344,0.38286203145980835,player
54,broadcast,player_04,1096,548,1149,637,1122.9602,592.94214,0.894080638885498,player
54,broadcast,player_04,1072,543,1109,615,1091.3154,579.626,0.8286145925521851,player
57,broadcast,player_04,1116,547,1157,637,1137.0862,592.57056,0.8944495916366577,player
57,broadcast,player_04,1076,546,1124,618,1100.5864,582.3624,0.8726420998573303,player
