frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
50,broadcast,player_03,1345,494,1394,548,1369.861,521.59546,0.7895891666412354,player
50,broadcast,player_03,1345,496,1399,572,1372.4976,534.23016,0.6726387739181519,player
55,broadcast,player_03,1365,507,1421,584,1393.5872,546.2597,0.8587300181388855,player
60,broadcast,player_03,1367,504,1425,587,1396.7018,545.8453,0.9276607632637024,player
65,broadcast,player_03,1355,511,1422,589,1388.6929,550.0406,0.880784809589386,player
70,broadcast,player_03,1351,522,1451,593,1401.5043,557.6468,0.836833655834198,player
70,broadcast,player_03,1348,520,1395,584,1371.9595,552.44617,0.693573534488678,player
75,broadcast,player_03,1369,516,1432,591,1401.4406,554.13354,0.9081752896308899,player
75,broadcast,player_03,1440,474,1479,554,1459.9904,514.22614,0.8934167623519897,player
80,broadcast,player_03,1492,509,1539,597,1515.9221,553.4119,0.8899174928665161,player
80,broadcast,player_03,1401,510,1474,590,1438.1287,550.5652,0.8871217966079712,player
80,broadcast,player_03,1451,477,1489,549,1470.5347,513.81525,0.826716423034668,player
85,broadcast,player_03,1467,504,1511,593,1489.5594,549.28735,0.8490605354309082,player
85,broadcast,player_03,1491,476,1516,542,1503.7628,509.4558,0.8405994176864624,player
90,broadcast,player_03,1526,500,1590,598,1558.4302,549.83777,0.8738105893135071,player
90,broadcast,player_03,1614,515,1653,599,1634.1042,557.66876,0.8590272665023804,player
95,broadcast,player_03,1674,516,1712,615,1693.5952,565.9393,0.8963836431503296,player
100,broadcast,player_03,1628,518,1667,614,1647.6196,566.7541,0.8853514790534973,player
100,broadcast,player_03,1616,578,1650,676,1633.5077,627.6821,0.8491474390029907,player
105,broadcast,player_03,1594,514,1628,600,1611.2428,557.10254,0.9185314774513245,player
105,broadcast,player_03,1658,531,1691,624,1674.9302,578.36633,0.8793166875839233,player
105,broadcast,player_03,1661,587,1705,687,1683.182,637.35724,0.7519709467887878,player
110,broadcast,player_03,1672,534,1717,640,1694.978,587.609,0.9099116921424866,player
115,broadcast,player_03,1700,540,1742,648,1721.1552,594.69965,0.8997339010238647,player
115,broadcast,player_03,1782,548,1814,660,1798.4272,604.12134,0.8760519027709961,player
115,broadcast,player_03,1750,602,1781,712,1766.0134,657.38983,0.8004328012466431,player
120,broadcast,player_03,1718,543,1747,644,1733.1793,593.72974,0.8869971632957458,player
